REF_DATE,GEO,DGUID,Household size (7),Household type including census family structure  (11),Coordinate,Household income statistics (6):Number of households (2021)[1],Symbol,Household income statistics (6):Number of households (2016)[2],Symbol,Household income statistics (6):Median household total income (2020) (2020 constant dollars)[3],Symbol,Household income statistics (6):Median household total income (2015) (2020 constant dollars)[4],Symbol,Household income statistics (6):Median household after-tax income (2020) (2020 constant dollars)[5],Symbol,Household income statistics (6):Median household after-tax income (2015) (2020 constant dollars)[6],Symbol
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,1 person,Households consisting of only one census family without additional persons,2.2.3,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,1 person,"One couple, with or without children in their census family",2.2.4,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,1 person,Without children,2.2.5,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,1 person,With children,2.2.6,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,1 person,One one-parent census family,2.2.7,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,1 person,With a parent that is a man+,2.2.8,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,1 person,With a parent that is a woman+,2.2.9,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,1 person,Other census family households,2.2.10,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,1 person,Non-census family households,2.2.11,100,,75,,45600,,43600,,40000,,37200,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 or more persons,Total – Household type including census family structure,2.3.1,560,,570,,138000,,108000,,124000,,94000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 or more persons,Census-family households,2.3.2,535,,540,,142000,,110000,,125000,,97000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 or more persons,Households consisting of only one census family without additional persons,2.3.3,345,,375,,112000,,97000,,98000,,84000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 or more persons,"One couple, with or without children in their census family",2.3.4,305,,340,,120000,,99000,,102000,,86000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 or more persons,Without children,2.3.5,145,,145,,99000,,89000,,84000,,78500,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 or more persons,With children,2.3.6,160,,200,,141000,,107000,,123000,,92000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 or more persons,One one-parent census family,2.3.7,45,,35,,71500,,59600,,66000,,54400,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 or more persons,With a parent that is a man+,2.3.8,10,,5,,,x,,x,,x,,x
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 or more persons,With a parent that is a woman+,2.3.9,30,,25,,69500,,59200,,64500,,54000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 or more persons,Other census family households,2.3.10,190,,170,,202000,,164000,,182000,,147000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 or more persons,Non-census family households,2.3.11,20,,30,,68000,,67000,,60800,,59600,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 persons,Total – Household type including census family structure,2.4.1,175,,180,,90000,,82000,,77000,,73000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 persons,Census-family households,2.4.2,160,,160,,94000,,84000,,80000,,75500,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 persons,Households consisting of only one census family without additional persons,2.4.3,160,,160,,94000,,84000,,80000,,75500,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 persons,"One couple, with or without children in their census family",2.4.4,145,,145,,99000,,89000,,84000,,78500,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 persons,Without children,2.4.5,145,,145,,99000,,89000,,84000,,78500,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 persons,With children,2.4.6,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 persons,One one-parent census family,2.4.7,15,,15,,,x,,x,,x,,x
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 persons,With a parent that is a man+,2.4.8,5,,5,,,x,,x,,x,,x
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 persons,With a parent that is a woman+,2.4.9,10,,10,,,x,,x,,x,,x
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 persons,Other census family households,2.4.10,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,2 persons,Non-census family households,2.4.11,15,,20,,,x,67000,,,x,56800,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,3 persons,Total – Household type including census family structure,2.5.1,80,,95,,103000,,82000,,93000,,73500,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,3 persons,Census-family households,2.5.2,75,,90,,104000,,84000,,93000,,74500,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,3 persons,Households consisting of only one census family without additional persons,2.5.3,70,,70,,106000,,85000,,95000,,77500,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,3 persons,"One couple, with or without children in their census family",2.5.4,45,,60,,120000,,93000,,107000,,83000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,3 persons,Without children,2.5.5,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,3 persons,With children,2.5.6,45,,60,,120000,,93000,,107000,,83000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,3 persons,One one-parent census family,2.5.7,20,,10,,,x,,x,,x,,x
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,3 persons,With a parent that is a man+,2.5.8,5,,0,,,x,0,...,,x,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,3 persons,With a parent that is a woman+,2.5.9,15,,15,,,x,,x,,x,,x
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,3 persons,Other census family households,2.5.10,15,,15,,,x,,x,,x,,x
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,3 persons,Non-census family households,2.5.11,0,,10,,,x,,x,,x,,x
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,4 persons,Total – Household type including census family structure,2.6.1,100,,105,,149000,,104000,,127000,,92000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,4 persons,Census-family households,2.6.2,100,,100,,149000,,104000,,127000,,91000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,4 persons,Households consisting of only one census family without additional persons,2.6.3,70,,75,,148000,,102000,,124000,,89000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,4 persons,"One couple, with or without children in their census family",2.6.4,65,,70,,151000,,102000,,130000,,91000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,4 persons,Without children,2.6.5,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,4 persons,With children,2.6.6,65,,70,,151000,,102000,,130000,,91000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,4 persons,One one-parent census family,2.6.7,5,,5,,,x,,x,,x,,x
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,4 persons,With a parent that is a man+,2.6.8,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,4 persons,With a parent that is a woman+,2.6.9,5,,5,,,x,,x,,x,,x
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,4 persons,Other census family households,2.6.10,30,,25,,157000,,108000,,139000,,98000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,4 persons,Non-census family households,2.6.11,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,5 or more persons,Total – Household type including census family structure,2.7.1,205,,200,,200000,,148000,,182000,,132000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,5 or more persons,Census-family households,2.7.2,205,,200,,200000,,148000,,182000,,132000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,5 or more persons,Households consisting of only one census family without additional persons,2.7.3,55,,70,,143000,,112000,,123000,,100000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,5 or more persons,"One couple, with or without children in their census family",2.7.4,50,,70,,145000,,112000,,125000,,101000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,5 or more persons,Without children,2.7.5,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,5 or more persons,With children,2.7.6,50,,70,,145000,,112000,,125000,,101000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,5 or more persons,One one-parent census family,2.7.7,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,5 or more persons,With a parent that is a man+,2.7.8,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,5 or more persons,With a parent that is a woman+,2.7.9,0,,0,,0,...,0,...,0,...,0,...
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,5 or more persons,Other census family households,2.7.10,150,,125,,242000,,180000,,206000,,156000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,5 or more persons,Non-census family households,2.7.11,0,,0,,0,...,0,...,0,...,0,...
2021,0002.00 - Abbotsford - Mission,2021S05079320002.00,Total - Households by household size,Total – Household type including census family structure,3.1.1,425,,420,,85000,,71500,,76500,,63600,
2021,0002.00 - Abbotsford - Mission,2021S05079320002.00,Total - Households by household size,Census-family households,3.1.2,295,,310,,105000,,85000,,93000,,74500,
2021,0002.00 - Abbotsford - Mission,2021S05079320002.00,Total - Households by household size,Households consisting of only one census family without additional persons,3.1.3,230,,250,,89000,,77000,,79500,,67500,
2021,0002.00 - Abbotsford - Mission,2021S05079320002.00,Total - Households by household size,"One couple, with or without children in their census family",3.1.4,185,,210,,97000,,80000,,86000,,71500,
2021,0002.00 - Abbotsford - Mission,2021S05079320002.00,Total - Households by household size,Without children,3.1.5,80,,100,,73000,,69000,,69500,,62400,
2021,0002.00 - Abbotsford - Mission,2021S05079320002.00,Total - Households by household size,With children,3.1.6,100,,110,,119000,,98000,,105000,,85000,
2021,0002.00 - Abbotsford - Mission,2021S05079320002.00,Total - Households by household size,One one-parent census family,3.1.7,45,,40,,62400,,58400,,61600,,54400,
2021,0002.00 - Abbotsford - Mission,2021S05079320002.00,Total - Households by household size,With a parent that is a man+,3.1.8,15,,15,,,x,,x,,x,,x
2021,0002.00 - Abbotsford - Mission,2021S05079320002.00,Total - Households by household size,With a parent that is a woman+,3.1.9,35,,30,,61600,,44000,,58400,,42400,
